SNO	Region	Events_fired	Sessions	%_Events_Fired	% session_opened	Regionwise_exploration
583	COBE	1206	512	0.00%	0.01%	2.36
584	MUSI	1201	242	0.00%	0.00%	4.96
585	RANG	1201	228	0.00%	0.00%	5.27
586	KHDA	1199	212	0.00%	0.00%	5.66
587	RUPN	1192	520	0.00%	0.01%	2.29
588	THVR	1192	288	0.00%	0.00%	4.14
589	PRAT	1180	387	0.00%	0.00%	3.05
590	PTPM	1171	178	0.00%	0.00%	6.58
591	RAEB	1167	396	0.00%	0.00%	2.95
592	BHAA	1165	483	0.00%	0.01%	2.41
593	NRPT	1165	438	0.00%	0.01%	2.66
594	AZMG	1139	505	0.00%	0.01%	2.26
595	NZVD	1139	412	0.00%	0.00%	2.76
596	BKTH	1130	476	0.00%	0.01%	2.37
597	VIRU	1127	153	0.00%	0.00%	7.37
598	BAGA	1120	238	0.00%	0.00%	4.71
599	PALM	1116	465	0.00%	0.01%	2.40
600	BELU	1115	268	0.00%	0.00%	4.16
601	AMBR	1115	267	0.00%	0.00%	4.18
602	ETWH	1103	405	0.00%	0.00%	2.72
603	KLAD	1102	396	0.00%	0.00%	2.78
604	JATN	1101	383	0.00%	0.00%	2.87
605	VRYM	1097	394	0.00%	0.00%	2.78
606	BIJO	1090	366	0.00%	0.00%	2.98
607	ANTT	1089	412	0.00%	0.00%	2.64
608	MOTI	1083	417	0.00%	0.01%	2.60
609	BADD	1082	428	0.00%	0.01%	2.53
610	NARP	1060	366	0.00%	0.00%	2.90
611	CHEV	1060	278	0.00%	0.00%	3.81
612	SALU	1057	344	0.00%	0.00%	3.07
613	RCPR	1057	288	0.00%	0.00%	3.67
614	KHED	1052	381	0.00%	0.00%	2.76
615	PLWA	1050	412	0.00%	0.00%	2.55
616	YEMM	1049	464	0.00%	0.01%	2.26
617	HNDP	1048	400	0.00%	0.00%	2.62
618	Chennai	1036	790	0.00%	0.01%	1.31
619	IDKI	1028	178	0.00%	0.00%	5.78
620	SAKT	1027	373	0.00%	0.00%	2.75
621	SONG	1019	185	0.00%	0.00%	5.51
622	YADG	998	311	0.00%	0.00%	3.21
623	MKKA	994	220	0.00%	0.00%	4.52
624	TRVR	989	285	0.00%	0.00%	3.47
625	CHAD	984	391	0.00%	0.00%	2.52
626	BOBB	982	215	0.00%	0.00%	4.57
627	BHUP	974	260	0.00%	0.00%	3.75
628	ARNT	971	320	0.00%	0.00%	3.03
629	PANT	970	235	0.00%	0.00%	4.13
630	JLAB	961	300	0.00%	0.00%	3.20
631	RANE	953	154	0.00%	0.00%	6.19
632	KPLA	937	309	0.00%	0.00%	3.03
633	NASP	931	328	0.00%	0.00%	2.84
634	BHRH	922	321	0.00%	0.00%	2.87
635	KOLE	922	219	0.00%	0.00%	4.21
636	PMMR	911	270	0.00%	0.00%	3.37
637	KAWA	902	299	0.00%	0.00%	3.02
638	GMAD	902	293	0.00%	0.00%	3.08
639	KARK	900	223	0.00%	0.00%	4.04
640	Pune	884	603	0.00%	0.01%	1.47
641	SEON	883	320	0.00%	0.00%	2.76
642	CHNN	881	195	0.00%	0.00%	4.52
643	SRNG	878	202	0.00%	0.00%	4.35
644	AHMG	877	360	0.00%	0.00%	2.44
645	JAMI	858	345	0.00%	0.00%	2.49
646	PETL	856	144	0.00%	0.00%	5.94
647	SHJH	855	338	0.00%	0.00%	2.53
648	CHIL	851	234	0.00%	0.00%	3.64
649	ALNI	851	223	0.00%	0.00%	3.82
650	ANEK	851	163	0.00%	0.00%	5.22
651	BHAN	847	289	0.00%	0.00%	2.93
652	JASD	847	225	0.00%	0.00%	3.76
653	BAGT	846	245	0.00%	0.00%	3.45
654	NZRA	836	337	0.00%	0.00%	2.48
655	NERP	822	326	0.00%	0.00%	2.52
656	BAND	820	173	0.00%	0.00%	4.74
657	WANA	802	311	0.00%	0.00%	2.58
658	PLLI	783	225	0.00%	0.00%	3.48
659	SAFI	773	280	0.00%	0.00%	2.76
660	WANI	761	283	0.00%	0.00%	2.69
661	DHRA	758	188	0.00%	0.00%	4.03
662	TINA	758	127	0.00%	0.00%	5.97
663	TIPT	751	193	0.00%	0.00%	3.89
664	DARJ	749	333	0.00%	0.00%	2.25
665	SHHA	747	201	0.00%	0.00%	3.72
666	AUBI	745	304	0.00%	0.00%	2.45
667	BIRL	743	384	0.00%	0.00%	1.93
668	TONK	738	201	0.00%	0.00%	3.67
669	ANKV	723	213	0.00%	0.00%	3.39
670	PARI	723	198	0.00%	0.00%	3.65
671	TKLI	720	211	0.00%	0.00%	3.41
672	CHAJ	716	206	0.00%	0.00%	3.48
673	BHUV	716	167	0.00%	0.00%	4.29
674	ALMO	714	326	0.00%	0.00%	2.19
675	RANA	714	326	0.00%	0.00%	2.19
676	ATLI	714	294	0.00%	0.00%	2.43
677	BAPU	713	324	0.00%	0.00%	2.20
678	PANC	707	217	0.00%	0.00%	3.26
679	PERI	705	162	0.00%	0.00%	4.35
680	BJNG	702	280	0.00%	0.00%	2.51
681	KNGN	700	270	0.00%	0.00%	2.59
682	JHAB	698	265	0.00%	0.00%	2.63
683	BAGU	697	198	0.00%	0.00%	3.52
684	DPLL	696	265	0.00%	0.00%	2.63
685	Kolkata	695	370	0.00%	0.00%	1.88
686	MULK	695	240	0.00%	0.00%	2.90
687	ADKI	689	170	0.00%	0.00%	4.05
688	BBCH	684	254	0.00%	0.00%	2.69
689	ADNI	677	146	0.00%	0.00%	4.64
690	YRLL	662	203	0.00%	0.00%	3.26
691	KAAM	661	225	0.00%	0.00%	2.94
692	RJLA	659	174	0.00%	0.00%	3.79
693	PAAL	657	242	0.00%	0.00%	2.71
694	PITA	656	173	0.00%	0.00%	3.79
695	SMNE	642	254	0.00%	0.00%	2.53
696	SINA	637	300	0.00%	0.00%	2.12
697	KAKP	637	139	0.00%	0.00%	4.58
698	GHAR	633	181	0.00%	0.00%	3.50
699	YLMN	632	234	0.00%	0.00%	2.70
700	NAWA	630	236	0.00%	0.00%	2.67
701	TANG	625	197	0.00%	0.00%	3.17
702	ANDM	624	200	0.00%	0.00%	3.12
703	KAMP	620	284	0.00%	0.00%	2.18
704	PURI	614	221	0.00%	0.00%	2.78
705	GANN	613	296	0.00%	0.00%	2.07
706	KSBG	609	229	0.00%	0.00%	2.66
707	BIPS	607	247	0.00%	0.00%	2.46
708	JAGJ	607	230	0.00%	0.00%	2.64
709	PALT	605	214	0.00%	0.00%	2.83
710	KADT	602	219	0.00%	0.00%	2.75
711	ULPT	601	157	0.00%	0.00%	3.83
712	SHIV	600	277	0.00%	0.00%	2.17
713	RAHU	593	160	0.00%	0.00%	3.71
714	PONN	588	116	0.00%	0.00%	5.07
715	HRE	588	113	0.00%	0.00%	5.20
716	PIDU	584	155	0.00%	0.00%	3.77
717	ANGR	579	175	0.00%	0.00%	3.31
718	RAI	578	136	0.00%	0.00%	4.25
719	NATH	578	80	0.00%	0.00%	7.23
720	DUBA	576	270	0.00%	0.00%	2.13
721	VNKD	569	198	0.00%	0.00%	2.87
722	WRRA	568	236	0.00%	0.00%	2.41
723	DAKR	568	160	0.00%	0.00%	3.55
724	TNO	567	186	0.00%	0.00%	3.05
725	DVLR	567	164	0.00%	0.00%	3.46
726	KAMR	567	114	0.00%	0.00%	4.97
727	NHTA	561	272	0.00%	0.00%	2.06
728	KHBD	559	275	0.00%	0.00%	2.03
729	KATI	558	238	0.00%	0.00%	2.34
730	JSMR	558	133	0.00%	0.00%	4.20
731	PEND	557	139	0.00%	0.00%	4.01
732	DALL	556	230	0.00%	0.00%	2.42
733	RSPM	556	198	0.00%	0.00%	2.81
734	KCHA	550	190	0.00%	0.00%	2.89
735	NAGO	546	210	0.00%	0.00%	2.60
736	HRDI	545	205	0.00%	0.00%	2.66
737	TRVL	545	129	0.00%	0.00%	4.22
738	SIND	544	151	0.00%	0.00%	3.60
739	MDRM	543	255	0.00%	0.00%	2.13
740	HMPI	543	114	0.00%	0.00%	4.76
741	PREG	541	231	0.00%	0.00%	2.34
742	DAUS	541	220	0.00%	0.00%	2.46
743	KAVT	538	78	0.00%	0.00%	6.90
744	AGOR	536	195	0.00%	0.00%	2.75
745	JHAJ	535	169	0.00%	0.00%	3.17
746	NRYN	531	177	0.00%	0.00%	3.00
747	VELI	529	152	0.00%	0.00%	3.48
748	WWAR	526	200	0.00%	0.00%	2.63
749	KANN	525	118	0.00%	0.00%	4.45
750	KANM	521	116	0.00%	0.00%	4.49
751	PDDG	518	212	0.00%	0.00%	2.44
752	KNNJ	518	99	0.00%	0.00%	5.23
753	RSNG	514	185	0.00%	0.00%	2.78
754	KHCY	512	183	0.00%	0.00%	2.80
755	PNRU	512	134	0.00%	0.00%	3.82
756	OSMA	511	208	0.00%	0.00%	2.46
757	BADA	508	226	0.00%	0.00%	2.25
758	KRYD	507	75	0.00%	0.00%	6.76
759	GOPG	503	258	0.00%	0.00%	1.95
760	BBHA	503	178	0.00%	0.00%	2.83
761	SAGA	502	207	0.00%	0.00%	2.43
762	AKVD	501	196	0.00%	0.00%	2.56
763	DHPR	494	204	0.00%	0.00%	2.42
764	PGNR	492	184	0.00%	0.00%	2.67
765	JEWR	491	247	0.00%	0.00%	1.99
766	PAVA	489	118	0.00%	0.00%	4.14
767	SARA	486	190	0.00%	0.00%	2.56
768	NARA	485	147	0.00%	0.00%	3.30
769	KOVR	480	166	0.00%	0.00%	2.89
770	ALGD	479	180	0.00%	0.00%	2.66
771	ZIRO	479	129	0.00%	0.00%	3.71
772	NAGD	472	191	0.00%	0.00%	2.47
773	SNGO	472	169	0.00%	0.00%	2.79
774	JAKA	468	150	0.00%	0.00%	3.12
775	HALI	465	223	0.00%	0.00%	2.09
776	KANG	465	175	0.00%	0.00%	2.66
777	BHUS	459	203	0.00%	0.00%	2.26
778	PODI	458	153	0.00%	0.00%	2.99
779	GANP	455	205	0.00%	0.00%	2.22
780	VIUR	451	127	0.00%	0.00%	3.55
781	HANU	439	115	0.00%	0.00%	3.82
782	SIMA	437	200	0.00%	0.00%	2.19
783	FATE	434	195	0.00%	0.00%	2.23
784	INDA	430	162	0.00%	0.00%	2.65
785	PUSD	424	157	0.00%	0.00%	2.70
786	LRAM	421	187	0.00%	0.00%	2.25
787	UTHM	421	131	0.00%	0.00%	3.21
788	KOAN	418	169	0.00%	0.00%	2.47
789	KUSH	418	118	0.00%	0.00%	3.54
790	MARR	417	156	0.00%	0.00%	2.67
791	THRU	409	118	0.00%	0.00%	3.47
792	KKJR	408	262	0.00%	0.00%	1.56
793	STGH	407	128	0.00%	0.00%	3.18
794	BNGA	405	134	0.00%	0.00%	3.02
795	KESA	405	90	0.00%	0.00%	4.50
796	PIPY	403	179	0.00%	0.00%	2.25
797	BORM	401	71	0.00%	0.00%	5.65
798	LEHL	400	110	0.00%	0.00%	3.64
799	VADA	398	111	0.00%	0.00%	3.59
800	BARK	397	191	0.00%	0.00%	2.08
801	JIND	397	186	0.00%	0.00%	2.13
802	ALL	393	169	0.00%	0.00%	2.33
803	NANZ	391	144	0.00%	0.00%	2.72
804	THRM	391	134	0.00%	0.00%	2.92
805	MUDL	390	106	0.00%	0.00%	3.68
806	DARH	389	175	0.00%	0.00%	2.22
807	BMDE	388	155	0.00%	0.00%	2.50
808	BADN	387	141	0.00%	0.00%	2.74
809	KADR	385	165	0.00%	0.00%	2.33
810	CHRY	384	156	0.00%	0.00%	2.46
811	CPTN	370	136	0.00%	0.00%	2.72
812	MANW	370	128	0.00%	0.00%	2.89
813	VAZH	363	135	0.00%	0.00%	2.69
814	KANJ	362	146	0.00%	0.00%	2.48
815	KASG	360	126	0.00%	0.00%	2.86
816	VIVI	359	101	0.00%	0.00%	3.55
817	KEKE	355	77	0.00%	0.00%	4.61
818	RMNG	349	99	0.00%	0.00%	3.53
819	DBBK	347	123	0.00%	0.00%	2.82
820	RYCT	346	135	0.00%	0.00%	2.56
821	PEDN	343	137	0.00%	0.00%	2.50
822	BAST	342	118	0.00%	0.00%	2.90
823	VELM	339	121	0.00%	0.00%	2.80
824	AURW	338	126	0.00%	0.00%	2.68
825	JEHA	329	170	0.00%	0.00%	1.94
826	VSNP	327	94	0.00%	0.00%	3.48
827	EDLP	325	163	0.00%	0.00%	1.99
828	BALO	325	123	0.00%	0.00%	2.64
829	BKOT	324	119	0.00%	0.00%	2.72
830	HING	322	94	0.00%	0.00%	3.43
831	CHPD	316	83	0.00%	0.00%	3.81
832	GANJ	315	120	0.00%	0.00%	2.63
833	KARE	314	145	0.00%	0.00%	2.17
834	KALI	312	160	0.00%	0.00%	1.95
835	MAKA	309	137	0.00%	0.00%	2.26
836	GAUR	308	88	0.00%	0.00%	3.50
837	DUBR	304	99	0.00%	0.00%	3.07
838	CHAP	303	154	0.00%	0.00%	1.97
839	ASWA	302	120	0.00%	0.00%	2.52
840	AKAL	301	109	0.00%	0.00%	2.76
841	RAMN	300	150	0.00%	0.00%	2.00
842	KHBH	296	50	0.00%	0.00%	5.92
843	THND	295	97	0.00%	0.00%	3.04
844	SRIR	294	92	0.00%	0.00%	3.20
845	MYDU	293	115	0.00%	0.00%	2.55
846	BIRH	292	115	0.00%	0.00%	2.54
847	PARA	290	99	0.00%	0.00%	2.93
848	MORI	287	93	0.00%	0.00%	3.09
849	NARY	286	100	0.00%	0.00%	2.86
850	VALL	286	92	0.00%	0.00%	3.11
851	PARC	285	104	0.00%	0.00%	2.74
852	HATH	284	101	0.00%	0.00%	2.81
853	NABB	280	140	0.00%	0.00%	2.00
854	SPAL	279	112	0.00%	0.00%	2.49
855	MDAS	278	68	0.00%	0.00%	4.09
856	JAMK	276	111	0.00%	0.00%	2.49
857	MALK	276	45	0.00%	0.00%	6.13
858	BHMP	274	120	0.00%	0.00%	2.28
859	MAAL	272	171	0.00%	0.00%	1.59
860	MUMM	271	119	0.00%	0.00%	2.28
861	UTHU	269	141	0.00%	0.00%	1.91
862	BMTA	268	111	0.00%	0.00%	2.41
863	UTRA	264	116	0.00%	0.00%	2.28
864	NIPN	264	76	0.00%	0.00%	3.47
865	MUNI	263	101	0.00%	0.00%	2.60
866	RAGH	259	97	0.00%	0.00%	2.67
867	JANR	257	96	0.00%	0.00%	2.68
868	AMBH	256	94	0.00%	0.00%	2.72
869	HRRR	255	69	0.00%	0.00%	3.70
870	KULI	255	62	0.00%	0.00%	4.11
871	SAOR	254	51	0.00%	0.00%	4.98
872	JOHO	252	49	0.00%	0.00%	5.14
873	ATHG	251	77	0.00%	0.00%	3.26
874	GOPA	250	113	0.00%	0.00%	2.21
875	GDWR	249	110	0.00%	0.00%	2.26
876	SARN	249	98	0.00%	0.00%	2.54
877	BALU	248	101	0.00%	0.00%	2.46
878	ELES	246	62	0.00%	0.00%	3.97
879	HANS	245	117	0.00%	0.00%	2.09
880	THYM	245	59	0.00%	0.00%	4.15
881	PENU	243	89	0.00%	0.00%	2.73
882	SEET	242	79	0.00%	0.00%	3.06
883	LUNA	242	52	0.00%	0.00%	4.65
884	DEVR	240	102	0.00%	0.00%	2.35
885	KHAR	240	92	0.00%	0.00%	2.61
886	HAMI	240	81	0.00%	0.00%	2.96
887	THRD	240	52	0.00%	0.00%	4.62
888	RJPA	238	54	0.00%	0.00%	4.41
889	GURZ	237	116	0.00%	0.00%	2.04
890	KOEM	236	73	0.00%	0.00%	3.23
891	GJPT	234	66	0.00%	0.00%	3.55
892	HIND	231	89	0.00%	0.00%	2.60
893	MAMA	230	106	0.00%	0.00%	2.17
894	NGKL	230	93	0.00%	0.00%	2.47
895	HUSR	224	78	0.00%	0.00%	2.87
896	MDHA	223	98	0.00%	0.00%	2.28
897	MMRR	222	84	0.00%	0.00%	2.64
898	TTPP	220	106	0.00%	0.00%	2.08
899	GOKA	220	33	0.00%	0.00%	6.67
900	BATT	219	123	0.00%	0.00%	1.78
901	KOSG	215	70	0.00%	0.00%	3.07
902	BSRM	214	99	0.00%	0.00%	2.16
903	KRJT	214	56	0.00%	0.00%	3.82
904	OOTY	214	39	0.00%	0.00%	5.49
905	GDRO	211	95	0.00%	0.00%	2.22
906	PENM	209	53	0.00%	0.00%	3.94
907	DEGA	208	61	0.00%	0.00%	3.41
908	THUL	206	63	0.00%	0.00%	3.27
909	BARN	202	96	0.00%	0.00%	2.10
910	GORA	202	91	0.00%	0.00%	2.22
911	DIGR	200	79	0.00%	0.00%	2.53
912	DARS	200	71	0.00%	0.00%	2.82
913	BASA	197	59	0.00%	0.00%	3.34
914	BHUN	196	70	0.00%	0.00%	2.80
915	VRAI	192	73	0.00%	0.00%	2.63
916	KHCU	191	64	0.00%	0.00%	2.98
917	AMLN	191	58	0.00%	0.00%	3.29
918	PEDD	189	83	0.00%	0.00%	2.28
919	CUMB	188	89	0.00%	0.00%	2.11
